Sequence	length	Acc	Organism
NC_035109.1:180573432-180576551_1	1040	NC_035109.1	Aedes_aegypti
NC_035109.1:186271524-186274643_1	136	NC_035109.1	Aedes_aegypti
NC_035109.1:186271524-186274643_2	874	NC_035109.1	Aedes_aegypti
NC_035109.1:191359253-191362372_1	1040	NC_035109.1	Aedes_aegypti
NC_035109.1:275446305-275449424_1	1040	NC_035109.1	Aedes_aegypti
NC_035109.1:285951180-285954299_1	1040	NC_035109.1	Aedes_aegypti
NC_035109.1:351933173-351936292_1	1040	NC_035109.1	Aedes_aegypti
NC_035109.1:4032851-4035970_1	1040	NC_035109.1	Aedes_aegypti
NC_035109.1:64412872-64415991_1	1040	NC_035109.1	Aedes_aegypti
NW_018735995.1:10705-13824_1	1040	NW_018735995.1	Aedes_aegypti
NC_035109.1:282818115-282821213_1	1033	NC_035109.1	Aedes_aegypti
NC_035108.1:285102816-285105902_1	1029	NC_035108.1	Aedes_aegypti
NC_035108.1:334126231-334129317_1	1029	NC_035108.1	Aedes_aegypti
NC_035109.1:248728930-248732016_1	32	NC_035109.1	Aedes_aegypti
NC_035109.1:248728930-248732016_2	960	NC_035109.1	Aedes_aegypti
NW_018736174.1:53740-56814_1	1025	NW_018736174.1	Aedes_aegypti
NC_035108.1:199565164-199568235_1	1024	NC_035108.1	Aedes_aegypti
NC_035107.1:154385150-154388212_1	1021	NC_035107.1	Aedes_aegypti
NC_035108.1:359562712-359565774_1	1021	NC_035108.1	Aedes_aegypti
NC_035109.1:348931464-348934508_1	1015	NC_035109.1	Aedes_aegypti
NC_035107.1:135312259-135315271_1	201	NC_035107.1	Aedes_aegypti
NC_035107.1:135312259-135315271_2	288	NC_035107.1	Aedes_aegypti
NC_035107.1:135312259-135315271_3	484	NC_035107.1	Aedes_aegypti
NC_035108.1:61659050-61662062_1	120	NC_035108.1	Aedes_aegypti
NC_035108.1:61659050-61662062_2	81	NC_035108.1	Aedes_aegypti
NC_035108.1:61659050-61662062_3	601	NC_035108.1	Aedes_aegypti
NC_035108.1:61659050-61662062_4	201	NC_035108.1	Aedes_aegypti
NC_035107.1:115370213-115373224_1	1004	NC_035107.1	Aedes_aegypti
NC_035107.1:244360187-244363198_1	314	NC_035107.1	Aedes_aegypti
NC_035107.1:244360187-244363198_2	669	NC_035107.1	Aedes_aegypti
NC_035107.1:244790077-244793088_1	1004	NC_035107.1	Aedes_aegypti
NC_035107.1:34677805-34680816_1	98	NC_035107.1	Aedes_aegypti
NC_035107.1:34677805-34680816_2	826	NC_035107.1	Aedes_aegypti
NC_035107.1:83034618-83037629_1	1004	NC_035107.1	Aedes_aegypti
NC_035108.1:187011437-187014448_1	1004	NC_035108.1	Aedes_aegypti
NC_035108.1:26769346-26772357_1	93	NC_035108.1	Aedes_aegypti
NC_035108.1:26769346-26772357_2	910	NC_035108.1	Aedes_aegypti
NC_035108.1:328793153-328796164_1	1004	NC_035108.1	Aedes_aegypti
NC_035108.1:429615522-429618533_1	1004	NC_035108.1	Aedes_aegypti
NC_035108.1:461017716-461020727_1	1004	NC_035108.1	Aedes_aegypti
NC_035108.1:461322638-461325649_1	1004	NC_035108.1	Aedes_aegypti
NC_035108.1:466825651-466828662_1	1004	NC_035108.1	Aedes_aegypti
NC_035108.1:58312788-58315799_1	1004	NC_035108.1	Aedes_aegypti
NC_035108.1:89100225-89103236_1	1004	NC_035108.1	Aedes_aegypti
NC_035109.1:105967695-105970706_1	1004	NC_035109.1	Aedes_aegypti
NC_035109.1:148344458-148347469_1	1004	NC_035109.1	Aedes_aegypti
NC_035109.1:150797473-150800484_1	1004	NC_035109.1	Aedes_aegypti
NC_035109.1:22570822-22573833_1	1004	NC_035109.1	Aedes_aegypti
NC_035109.1:333971199-333974210_1	1004	NC_035109.1	Aedes_aegypti
NC_035107.1:160354388-160357398_1	807	NC_035107.1	Aedes_aegypti
NC_035107.1:160354388-160357398_2	111	NC_035107.1	Aedes_aegypti
NC_035107.1:160354388-160357398_3	85	NC_035107.1	Aedes_aegypti
NC_035107.1:298267771-298270778_1	29	NC_035107.1	Aedes_aegypti
NC_035107.1:298267771-298270778_2	142	NC_035107.1	Aedes_aegypti
NC_035107.1:298267771-298270778_3	806	NC_035107.1	Aedes_aegypti
NC_035108.1:166869294-166872299_1	1002	NC_035108.1	Aedes_aegypti
NC_035109.1:62585187-62588190_1	708	NC_035109.1	Aedes_aegypti
NC_035109.1:62585187-62588190_2	110	NC_035109.1	Aedes_aegypti
NC_035109.1:62585187-62588190_3	199	NC_035109.1	Aedes_aegypti
NC_035108.1:310905506-310908504_1	803	NC_035108.1	Aedes_aegypti
NC_035108.1:310905506-310908504_2	199	NC_035108.1	Aedes_aegypti
NC_035107.1:181812416-181815394_1	993	NC_035107.1	Aedes_aegypti
NC_035108.1:348175171-348178044_1	958	NC_035108.1	Aedes_aegypti
NC_035108.1:252239528-252242383_1	952	NC_035108.1	Aedes_aegypti
NC_035108.1:382776011-382778863_1	951	NC_035108.1	Aedes_aegypti
NC_035108.1:397268670-397271520_1	739	NC_035108.1	Aedes_aegypti
NC_035108.1:397268670-397271520_2	205	NC_035108.1	Aedes_aegypti
NC_035107.1:149028919-149031768_1	950	NC_035107.1	Aedes_aegypti
NC_035107.1:212756901-212759750_1	950	NC_035107.1	Aedes_aegypti
NC_035107.1:218675613-218678462_1	950	NC_035107.1	Aedes_aegypti
NC_035107.1:247681324-247684173_1	950	NC_035107.1	Aedes_aegypti
NC_035107.1:252878162-252881011_1	950	NC_035107.1	Aedes_aegypti
NC_035108.1:171294914-171297763_1	950	NC_035108.1	Aedes_aegypti
NC_035108.1:222811001-222813850_1	950	NC_035108.1	Aedes_aegypti
NC_035108.1:226979377-226982226_1	950	NC_035108.1	Aedes_aegypti
NC_035108.1:314975061-314977910_1	904	NC_035108.1	Aedes_aegypti
NC_035108.1:431294428-431297277_1	950	NC_035108.1	Aedes_aegypti
NC_035108.1:468843795-468846644_1	950	NC_035108.1	Aedes_aegypti
NC_035109.1:205153011-205155860_1	950	NC_035109.1	Aedes_aegypti
NC_035109.1:21312858-21315707_1	950	NC_035109.1	Aedes_aegypti
NC_035109.1:220739997-220742846_1	950	NC_035109.1	Aedes_aegypti
NC_035109.1:28118575-28121424_1	950	NC_035109.1	Aedes_aegypti
NW_018735403.1:16603-19451_1	325	NW_018735403.1	Aedes_aegypti
NW_018735403.1:16603-19451_2	607	NW_018735403.1	Aedes_aegypti
NC_035108.1:295468683-295471530_1	194	NC_035108.1	Aedes_aegypti
NC_035108.1:295468683-295471530_2	710	NC_035108.1	Aedes_aegypti
NC_035109.1:219266970-219269817_1	194	NC_035109.1	Aedes_aegypti
NC_035109.1:219266970-219269817_2	710	NC_035109.1	Aedes_aegypti
NC_035107.1:122623435-122626281_1	949	NC_035107.1	Aedes_aegypti
NC_035107.1:141647197-141650043_1	949	NC_035107.1	Aedes_aegypti
NC_035107.1:159948143-159950989_1	949	NC_035107.1	Aedes_aegypti
NC_035107.1:161010653-161013499_1	949	NC_035107.1	Aedes_aegypti
NC_035107.1:181651993-181654839_1	949	NC_035107.1	Aedes_aegypti
NC_035107.1:193116096-193118942_1	949	NC_035107.1	Aedes_aegypti
NC_035107.1:223382165-223385011_1	949	NC_035107.1	Aedes_aegypti
NC_035107.1:88917975-88920821_1	949	NC_035107.1	Aedes_aegypti
NC_035108.1:158096231-158099077_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:1589916-1592762_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:213709113-213711959_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:237925082-237927928_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:240245536-240248382_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:243884407-243887253_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:257975376-257978222_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:357593843-357596689_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:364114111-364116957_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:381663395-381666241_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:469136648-469139494_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:469202438-469205284_1	949	NC_035108.1	Aedes_aegypti
NC_035108.1:89389902-89392748_1	949	NC_035108.1	Aedes_aegypti
NC_035109.1:125134239-125137085_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:129607069-129609915_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:187533021-187535867_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:191030665-191033511_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:231267274-231270120_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:282349322-282352168_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:291238827-291241673_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:4673803-4676649_1	949	NC_035109.1	Aedes_aegypti
NC_035109.1:55887850-55890696_1	949	NC_035109.1	Aedes_aegypti
NW_018735050.1:85485-88331_1	949	NW_018735050.1	Aedes_aegypti
NC_035109.1:404343550-404346391_1	665	NC_035109.1	Aedes_aegypti
NC_035109.1:404343550-404346391_2	278	NC_035109.1	Aedes_aegypti
NC_035107.1:111321022-111323862_1	947	NC_035107.1	Aedes_aegypti
NC_035107.1:153688701-153691541_1	424	NC_035107.1	Aedes_aegypti
NC_035107.1:153688701-153691541_2	522	NC_035107.1	Aedes_aegypti
NC_035107.1:161628956-161631796_1	947	NC_035107.1	Aedes_aegypti
NC_035107.1:257715378-257718218_1	947	NC_035107.1	Aedes_aegypti
NC_035107.1:4640129-4642969_1	508	NC_035107.1	Aedes_aegypti
NC_035107.1:4640129-4642969_2	426	NC_035107.1	Aedes_aegypti
NC_035107.1:91788605-91791445_1	947	NC_035107.1	Aedes_aegypti
NC_035108.1:154051581-154054421_1	947	NC_035108.1	Aedes_aegypti
NC_035108.1:210550150-210552990_1	947	NC_035108.1	Aedes_aegypti
NC_035108.1:308457876-308460716_1	947	NC_035108.1	Aedes_aegypti
NC_035108.1:88483396-88486236_1	947	NC_035108.1	Aedes_aegypti
NC_035109.1:148051231-148054071_1	947	NC_035109.1	Aedes_aegypti
NC_035109.1:229471591-229474431_1	947	NC_035109.1	Aedes_aegypti
NC_035109.1:325770790-325773630_1	947	NC_035109.1	Aedes_aegypti
NC_035107.1:169487100-169489937_1	946	NC_035107.1	Aedes_aegypti
NC_035108.1:220236152-220238989_1	946	NC_035108.1	Aedes_aegypti
NC_035108.1:222915909-222918746_1	946	NC_035108.1	Aedes_aegypti
NC_035108.1:267728280-267731117_1	946	NC_035108.1	Aedes_aegypti
NC_035108.1:50429676-50432513_1	946	NC_035108.1	Aedes_aegypti
NC_035109.1:110925456-110928293_1	771	NC_035109.1	Aedes_aegypti
NC_035109.1:110925456-110928293_2	100	NC_035109.1	Aedes_aegypti
NW_018734863.1:12511-15348_1	946	NW_018734863.1	Aedes_aegypti
NC_035108.1:452906910-452909746_1	490	NC_035108.1	Aedes_aegypti
NC_035108.1:452906910-452909746_2	332	NC_035108.1	Aedes_aegypti
NC_035108.1:452906910-452909746_3	91	NC_035108.1	Aedes_aegypti
NC_035109.1:216402008-216404835_1	424	NC_035109.1	Aedes_aegypti
NC_035109.1:216402008-216404835_2	488	NC_035109.1	Aedes_aegypti
NC_035107.1:196853691-196856513_1	493	NC_035107.1	Aedes_aegypti
NC_035107.1:196853691-196856513_2	420	NC_035107.1	Aedes_aegypti
NC_035108.1:125271813-125274635_1	941	NC_035108.1	Aedes_aegypti
NC_035108.1:362052283-362055105_1	941	NC_035108.1	Aedes_aegypti
NC_035108.1:421150974-421153796_1	941	NC_035108.1	Aedes_aegypti
NC_035108.1:433404348-433407170_1	941	NC_035108.1	Aedes_aegypti
NC_035108.1:445521598-445524420_1	941	NC_035108.1	Aedes_aegypti
NC_035109.1:10214770-10217592_1	941	NC_035109.1	Aedes_aegypti
NW_018736045.1:49004-51826_1	941	NW_018736045.1	Aedes_aegypti
NC_035109.1:52705051-52707831_1	927	NC_035109.1	Aedes_aegypti
NC_035107.1:182336598-182339372_1	391	NC_035107.1	Aedes_aegypti
NC_035107.1:182336598-182339372_2	526	NC_035107.1	Aedes_aegypti
NC_035107.1:225184312-225187086_1	925	NC_035107.1	Aedes_aegypti
NC_035109.1:105638859-105641633_1	925	NC_035109.1	Aedes_aegypti
NC_035109.1:167705802-167708576_1	925	NC_035109.1	Aedes_aegypti
NC_035107.1:307133764-307136537_1	199	NC_035107.1	Aedes_aegypti
NC_035107.1:307133764-307136537_2	728	NC_035107.1	Aedes_aegypti
NC_035107.1:251350194-251352962_1	610	NC_035107.1	Aedes_aegypti
NC_035107.1:251350194-251352962_2	279	NC_035107.1	Aedes_aegypti
NC_035109.1:278192404-278195169_1	922	NC_035109.1	Aedes_aegypti
NC_035108.1:407465721-407468483_1	921	NC_035108.1	Aedes_aegypti
NC_035109.1:215458372-215461134_1	179	NC_035109.1	Aedes_aegypti
NC_035109.1:215458372-215461134_2	638	NC_035109.1	Aedes_aegypti
NC_035108.1:216801411-216804170_1	920	NC_035108.1	Aedes_aegypti
NC_035108.1:237160521-237163277_1	919	NC_035108.1	Aedes_aegypti
NC_035107.1:159452535-159455289_1	631	NC_035107.1	Aedes_aegypti
NC_035107.1:159452535-159455289_2	275	NC_035107.1	Aedes_aegypti
NC_035109.1:144792815-144795568_1	653	NC_035109.1	Aedes_aegypti
NC_035109.1:144792815-144795568_2	254	NC_035109.1	Aedes_aegypti
NC_035109.1:289435325-289438078_1	254	NC_035109.1	Aedes_aegypti
NC_035109.1:289435325-289438078_2	653	NC_035109.1	Aedes_aegypti
NW_018734935.1:40827-43580_1	653	NW_018734935.1	Aedes_aegypti
NW_018734935.1:40827-43580_2	254	NW_018734935.1	Aedes_aegypti
NC_035109.1:199367048-199369800_1	184	NC_035109.1	Aedes_aegypti
NC_035109.1:199367048-199369800_2	636	NC_035109.1	Aedes_aegypti
NC_035108.1:79362242-79364987_1	275	NC_035108.1	Aedes_aegypti
NC_035108.1:79362242-79364987_2	628	NC_035108.1	Aedes_aegypti
NC_035108.1:211974342-211977083_1	914	NC_035108.1	Aedes_aegypti
NC_035107.1:151654873-151657613_1	371	NC_035107.1	Aedes_aegypti
NC_035107.1:151654873-151657613_2	506	NC_035107.1	Aedes_aegypti
NC_035109.1:9885661-9888399_1	913	NC_035109.1	Aedes_aegypti
NC_035107.1:269955327-269958059_1	911	NC_035107.1	Aedes_aegypti
NC_035108.1:26447349-26450081_1	911	NC_035108.1	Aedes_aegypti
NC_035108.1:322043106-322045838_1	152	NC_035108.1	Aedes_aegypti
NC_035108.1:322043106-322045838_2	757	NC_035108.1	Aedes_aegypti
NC_035108.1:469163470-469166202_1	379	NC_035108.1	Aedes_aegypti
NC_035108.1:469163470-469166202_2	187	NC_035108.1	Aedes_aegypti
NC_035108.1:469163470-469166202_3	204	NC_035108.1	Aedes_aegypti
NC_035108.1:471431625-471434357_1	911	NC_035108.1	Aedes_aegypti
NC_035108.1:68767724-68770456_1	911	NC_035108.1	Aedes_aegypti
NC_035109.1:323507665-323510397_1	911	NC_035109.1	Aedes_aegypti
NC_035109.1:379850174-379852906_1	911	NC_035109.1	Aedes_aegypti
NC_035109.1:392052053-392054785_1	911	NC_035109.1	Aedes_aegypti
NW_018736485.1:169091-171823_1	911	NW_018736485.1	Aedes_aegypti
NC_035107.1:130745567-130748296_1	910	NC_035107.1	Aedes_aegypti
NC_035107.1:176202375-176205104_1	910	NC_035107.1	Aedes_aegypti
NC_035109.1:105865801-105868530_1	910	NC_035109.1	Aedes_aegypti
NC_035109.1:148332090-148334819_1	910	NC_035109.1	Aedes_aegypti
NC_035109.1:271307810-271310539_1	910	NC_035109.1	Aedes_aegypti
NW_018736341.1:20035-22764_1	910	NW_018736341.1	Aedes_aegypti
NC_035107.1:143458153-143460864_1	190	NC_035107.1	Aedes_aegypti
NC_035107.1:143458153-143460864_2	707	NC_035107.1	Aedes_aegypti
NC_035107.1:154428949-154431651_1	901	NC_035107.1	Aedes_aegypti
NC_035107.1:276955299-276958000_1	363	NC_035107.1	Aedes_aegypti
NC_035107.1:276955299-276958000_2	139	NC_035107.1	Aedes_aegypti
NC_035107.1:276955299-276958000_3	318	NC_035107.1	Aedes_aegypti
NC_035107.1:173099095-173101785_1	897	NC_035107.1	Aedes_aegypti
NC_035109.1:316415952-316418612_1	887	NC_035109.1	Aedes_aegypti
NW_018736300.1:16658-19318_1	887	NW_018736300.1	Aedes_aegypti
NC_035109.1:226649994-226652648_1	885	NC_035109.1	Aedes_aegypti
NC_035107.1:210581323-210583964_1	199	NC_035107.1	Aedes_aegypti
NC_035107.1:210581323-210583964_2	684	NC_035107.1	Aedes_aegypti
NC_035109.1:126399927-126402552_1	472	NC_035109.1	Aedes_aegypti
NC_035109.1:126399927-126402552_2	290	NC_035109.1	Aedes_aegypti
NC_035108.1:297205411-297208029_1	672	NC_035108.1	Aedes_aegypti
NC_035108.1:297205411-297208029_2	182	NC_035108.1	Aedes_aegypti
NC_035108.1:158873744-158876359_1	872	NC_035108.1	Aedes_aegypti
NC_035108.1:167708023-167710638_1	846	NC_035108.1	Aedes_aegypti
NC_035108.1:17396591-17399206_1	872	NC_035108.1	Aedes_aegypti
NC_035108.1:303877720-303880335_1	872	NC_035108.1	Aedes_aegypti
NC_035108.1:372421233-372423848_1	573	NC_035108.1	Aedes_aegypti
NC_035108.1:372421233-372423848_2	286	NC_035108.1	Aedes_aegypti
NC_035109.1:152524426-152527041_1	872	NC_035109.1	Aedes_aegypti
NC_035109.1:183228676-183231291_1	872	NC_035109.1	Aedes_aegypti
NC_035109.1:201788412-201791027_1	872	NC_035109.1	Aedes_aegypti
NC_035109.1:296622970-296625585_1	872	NC_035109.1	Aedes_aegypti
NC_035109.1:332916757-332919372_1	872	NC_035109.1	Aedes_aegypti
NC_035109.1:66402325-66404940_1	872	NC_035109.1	Aedes_aegypti
NC_035107.1:258117349-258119955_1	869	NC_035107.1	Aedes_aegypti
NC_035109.1:159226076-159228679_1	868	NC_035109.1	Aedes_aegypti
NC_035109.1:395634471-395637074_1	868	NC_035109.1	Aedes_aegypti
NC_035107.1:252417397-252419991_1	865	NC_035107.1	Aedes_aegypti
NC_035107.1:128678960-128681542_1	861	NC_035107.1	Aedes_aegypti
NC_035107.1:156761732-156764314_1	861	NC_035107.1	Aedes_aegypti
NC_035107.1:251736115-251738697_1	691	NC_035107.1	Aedes_aegypti
NC_035107.1:251736115-251738697_2	164	NC_035107.1	Aedes_aegypti
NC_035107.1:92267439-92270021_1	861	NC_035107.1	Aedes_aegypti
NC_035108.1:127733659-127736241_1	861	NC_035108.1	Aedes_aegypti
NC_035108.1:138045868-138048450_1	861	NC_035108.1	Aedes_aegypti
NC_035108.1:196024493-196027075_1	861	NC_035108.1	Aedes_aegypti
NC_035108.1:259613502-259616084_1	861	NC_035108.1	Aedes_aegypti
NC_035108.1:282332551-282335133_1	861	NC_035108.1	Aedes_aegypti
NC_035109.1:126539852-126542434_1	861	NC_035109.1	Aedes_aegypti
NC_035109.1:147575563-147578145_1	861	NC_035109.1	Aedes_aegypti
NC_035109.1:214504067-214506649_1	222	NC_035109.1	Aedes_aegypti
NC_035109.1:214504067-214506649_2	257	NC_035109.1	Aedes_aegypti
NC_035109.1:214504067-214506649_3	360	NC_035109.1	Aedes_aegypti
NW_018735222.1:39325-41907_1	861	NW_018735222.1	Aedes_aegypti
NC_035107.1:106545342-106547923_1	635	NC_035107.1	Aedes_aegypti
NC_035107.1:106545342-106547923_2	208	NC_035107.1	Aedes_aegypti
NC_035107.1:218687053-218689626_1	858	NC_035107.1	Aedes_aegypti
NC_035109.1:105786358-105788931_1	858	NC_035109.1	Aedes_aegypti
NC_035107.1:101160361-101162933_1	136	NC_035107.1	Aedes_aegypti
NC_035107.1:101160361-101162933_2	722	NC_035107.1	Aedes_aegypti
NC_035107.1:22577329-22579896_1	856	NC_035107.1	Aedes_aegypti
NC_035107.1:57044613-57047180_1	856	NC_035107.1	Aedes_aegypti
NC_035108.1:349686053-349688620_1	856	NC_035108.1	Aedes_aegypti
NC_035108.1:900326-902893_1	856	NC_035108.1	Aedes_aegypti
NC_035109.1:123574096-123576663_1	856	NC_035109.1	Aedes_aegypti
NC_035109.1:158057829-158060396_1	856	NC_035109.1	Aedes_aegypti
NC_035109.1:195984531-195987098_1	856	NC_035109.1	Aedes_aegypti
NC_035109.1:21179563-21182130_1	856	NC_035109.1	Aedes_aegypti
NC_035109.1:218103555-218106122_1	856	NC_035109.1	Aedes_aegypti
NC_035109.1:370855651-370858218_1	856	NC_035109.1	Aedes_aegypti
NC_035108.1:349124246-349126792_1	849	NC_035108.1	Aedes_aegypti
NC_035107.1:160271677-160274220_1	848	NC_035107.1	Aedes_aegypti
NC_035109.1:212403549-212406083_1	845	NC_035109.1	Aedes_aegypti
NW_018735268.1:37615-40137_1	841	NW_018735268.1	Aedes_aegypti
NC_035108.1:216785307-216787826_1	840	NC_035108.1	Aedes_aegypti
NC_035107.1:66541612-66544116_1	835	NC_035107.1	Aedes_aegypti
NC_035107.1:96887951-96890455_1	835	NC_035107.1	Aedes_aegypti
NC_035108.1:246675055-246677559_1	835	NC_035108.1	Aedes_aegypti
NC_035109.1:250111883-250114387_1	835	NC_035109.1	Aedes_aegypti
NC_035109.1:266864601-266867105_1	835	NC_035109.1	Aedes_aegypti
NC_035109.1:312892501-312895005_1	835	NC_035109.1	Aedes_aegypti
NW_018735061.1:64942-67446_1	835	NW_018735061.1	Aedes_aegypti
NW_018735347.1:51648-54152_1	835	NW_018735347.1	Aedes_aegypti
NC_035108.1:219321493-219323973_1	827	NC_035108.1	Aedes_aegypti
NC_035109.1:191427566-191430046_1	610	NC_035109.1	Aedes_aegypti
NC_035109.1:191427566-191430046_2	122	NC_035109.1	Aedes_aegypti
NC_035108.1:313887136-313889611_1	213	NC_035108.1	Aedes_aegypti
NC_035108.1:313887136-313889611_2	616	NC_035108.1	Aedes_aegypti
NW_018735421.1:34845-37288_1	95	NW_018735421.1	Aedes_aegypti
NW_018735421.1:34845-37288_2	655	NW_018735421.1	Aedes_aegypti
NW_018735421.1:34845-37288_3	37	NW_018735421.1	Aedes_aegypti
NC_035108.1:202040230-202042665_1	812	NC_035108.1	Aedes_aegypti
NC_035109.1:221265724-221268159_1	228	NC_035109.1	Aedes_aegypti
NC_035109.1:221265724-221268159_2	140	NC_035109.1	Aedes_aegypti
NC_035109.1:221265724-221268159_3	404	NC_035109.1	Aedes_aegypti
NW_018736412.1:38402-40819_1	755	NW_018736412.1	Aedes_aegypti
NC_035108.1:147530911-147533322_1	740	NC_035108.1	Aedes_aegypti
NC_035108.1:212312925-212315333_1	803	NC_035108.1	Aedes_aegypti
NC_035109.1:134832156-134834564_1	803	NC_035109.1	Aedes_aegypti
NC_035107.1:120824228-120826627_1	800	NC_035107.1	Aedes_aegypti
NC_035108.1:167591638-167594034_1	799	NC_035108.1	Aedes_aegypti
NC_035109.1:114955232-114957622_1	797	NC_035109.1	Aedes_aegypti
NC_035109.1:286012285-286014669_1	795	NC_035109.1	Aedes_aegypti
NW_018736558.1:28091-30469_1	793	NW_018736558.1	Aedes_aegypti
NC_035109.1:214493678-214496019_1	147	NC_035109.1	Aedes_aegypti
NC_035109.1:214493678-214496019_2	441	NC_035109.1	Aedes_aegypti
NC_035107.1:55677531-55679852_1	774	NC_035107.1	Aedes_aegypti
NC_035109.1:329908029-329910350_1	609	NC_035109.1	Aedes_aegypti
NC_035109.1:329908029-329910350_2	164	NC_035109.1	Aedes_aegypti
NC_035108.1:274746427-274748715_1	763	NC_035108.1	Aedes_aegypti
NW_018735971.1:23999-26286_1	527	NW_018735971.1	Aedes_aegypti
NW_018735971.1:23999-26286_2	165	NW_018735971.1	Aedes_aegypti
NC_035109.1:334112733-334115003_1	757	NC_035109.1	Aedes_aegypti
NC_035107.1:247648464-247650725_1	754	NC_035107.1	Aedes_aegypti
NC_035107.1:97147807-97150068_1	754	NC_035107.1	Aedes_aegypti
NC_035107.1:140990740-140992986_1	749	NC_035107.1	Aedes_aegypti
NC_035107.1:141004424-141006664_1	747	NC_035107.1	Aedes_aegypti
NC_035109.1:304012797-304015029_1	201	NC_035109.1	Aedes_aegypti
NC_035109.1:304012797-304015029_2	547	NC_035109.1	Aedes_aegypti
NC_035107.1:181243994-181246222_1	743	NC_035107.1	Aedes_aegypti
NC_035108.1:172621440-172623647_1	736	NC_035108.1	Aedes_aegypti
NC_035109.1:168379010-168381217_1	736	NC_035109.1	Aedes_aegypti
NC_035109.1:38290501-38292702_1	734	NC_035109.1	Aedes_aegypti
NC_035109.1:289527767-289529959_1	731	NC_035109.1	Aedes_aegypti
NC_035109.1:99845458-99847638_1	727	NC_035109.1	Aedes_aegypti
NC_035108.1:229135625-229137790_1	112	NC_035108.1	Aedes_aegypti
NC_035108.1:229135625-229137790_2	493	NC_035108.1	Aedes_aegypti
NC_035107.1:153726820-153728982_1	721	NC_035107.1	Aedes_aegypti
NC_035108.1:97742692-97744835_1	398	NC_035108.1	Aedes_aegypti
NC_035108.1:97742692-97744835_2	318	NC_035108.1	Aedes_aegypti
