Sequence,length,Acc,Organism
NC_035107.1:85125752-85125997|Metaviridae|Metavirus|Cladosporium_1,82,NC_035107.1,Aedes_aegypti
NC_035107.1:90870280-90872215|Metaviridae|Metavirus|Cladosporium_1,170,NC_035107.1,Aedes_aegypti
NC_035107.1:90870280-90872215|Metaviridae|Metavirus|Cladosporium_2,479,NC_035107.1,Aedes_aegypti
NC_035107.1:90969340-90969657|Metaviridae|Metavirus|Cladosporium_1,100,NC_035107.1,Aedes_aegypti
NC_035107.1:95039100-95041259|Metaviridae|Metavirus|Cladosporium_1,720,NC_035107.1,Aedes_aegypti
NC_035107.1:95771304-95771543|Metaviridae|Metavirus|Cladosporium_1,80,NC_035107.1,Aedes_aegypti
NC_035107.1:96429478-96430017|Metaviridae|Metavirus|Cladosporium_1,180,NC_035107.1,Aedes_aegypti
NC_035107.1:97166869-97169106|Metaviridae|Metavirus|Cladosporium_1,746,NC_035107.1,Aedes_aegypti
NC_035107.1:98466015-98468162|Metaviridae|Metavirus|Cladosporium_1,716,NC_035107.1,Aedes_aegypti
NC_035107.1:98559979-98562114|Metaviridae|Metavirus|Cladosporium_1,712,NC_035107.1,Aedes_aegypti
NC_035107.1:99407449-99409686|Metaviridae|Metavirus|Cladosporium_1,746,NC_035107.1,Aedes_aegypti
NC_035107.1:100128794-100130932|Metaviridae|Metavirus|Cladosporium_1,195,NC_035107.1,Aedes_aegypti
NC_035107.1:100128794-100130932|Metaviridae|Metavirus|Cladosporium_2,331,NC_035107.1,Aedes_aegypti
NC_035107.1:100128794-100130932|Metaviridae|Metavirus|Cladosporium_3,82,NC_035107.1,Aedes_aegypti
NC_035107.1:104393675-104395591|Metaviridae|Metavirus|Cladosporium_1,639,NC_035107.1,Aedes_aegypti
NC_035107.1:105213706-105215745|Metaviridae|Metavirus|Cladosporium_1,680,NC_035107.1,Aedes_aegypti
NC_035107.1:107374339-107375508|Metaviridae|Metavirus|Cladosporium_1,390,NC_035107.1,Aedes_aegypti
NC_035107.1:110728105-110728290|Metaviridae|Metavirus|Cladosporium_1,62,NC_035107.1,Aedes_aegypti
NC_035107.1:118615343-118617580|Metaviridae|Metavirus|Cladosporium_1,746,NC_035107.1,Aedes_aegypti
NC_035107.1:119407340-119409649|Metaviridae|Metavirus|Cladosporium_1,770,NC_035107.1,Aedes_aegypti
NC_035107.1:121351329-121353527|Metaviridae|Metavirus|Cladosporium_1,733,NC_035107.1,Aedes_aegypti
NC_035107.1:123809175-123809534|Metaviridae|Metavirus|Cladosporium_1,120,NC_035107.1,Aedes_aegypti
NC_035107.1:126104428-126106650|Metaviridae|Metavirus|Cladosporium_1,741,NC_035107.1,Aedes_aegypti
NC_035107.1:128435134-128435451|Metaviridae|Metavirus|Cladosporium_1,70,NC_035107.1,Aedes_aegypti
NC_035107.1:130235226-130237382|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:130572257-130574413|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:133078981-133081050|Metaviridae|Metavirus|Cladosporium_1,624,NC_035107.1,Aedes_aegypti
NC_035107.1:135234475-135236511|Metaviridae|Metavirus|Cladosporium_1,679,NC_035107.1,Aedes_aegypti
NC_035107.1:135517920-135519941|Metaviridae|Metavirus|Cladosporium_1,674,NC_035107.1,Aedes_aegypti
NC_035107.1:135652060-135654120|Metaviridae|Metavirus|Cladosporium_1,687,NC_035107.1,Aedes_aegypti
NC_035107.1:137065163-137067322|Metaviridae|Metavirus|Cladosporium_1,570,NC_035107.1,Aedes_aegypti
NC_035107.1:137065163-137067322|Metaviridae|Metavirus|Cladosporium_2,132,NC_035107.1,Aedes_aegypti
NC_035107.1:137142363-137144375|Metaviridae|Metavirus|Cladosporium_1,570,NC_035107.1,Aedes_aegypti
NC_035107.1:137142363-137144375|Metaviridae|Metavirus|Cladosporium_2,85,NC_035107.1,Aedes_aegypti
NC_035107.1:137919315-137921456|Metaviridae|Metavirus|Cladosporium_1,714,NC_035107.1,Aedes_aegypti
NC_035107.1:140188648-140188983|Metaviridae|Metavirus|Cladosporium_1,112,NC_035107.1,Aedes_aegypti
NC_035107.1:141043409-141043675|Metaviridae|Metavirus|Cladosporium_1,89,NC_035107.1,Aedes_aegypti
NC_035107.1:145007919-145010066|Metaviridae|Metavirus|Cladosporium_1,716,NC_035107.1,Aedes_aegypti
NC_035107.1:146922604-146923026|Metaviridae|Metavirus|Cladosporium_1,141,NC_035107.1,Aedes_aegypti
NC_035107.1:147879891-147880490|Metaviridae|Metavirus|Cladosporium_1,66,NC_035107.1,Aedes_aegypti
NC_035107.1:147879891-147880490|Metaviridae|Metavirus|Cladosporium_2,77,NC_035107.1,Aedes_aegypti
NC_035107.1:148377580-148379619|Metaviridae|Metavirus|Cladosporium_1,680,NC_035107.1,Aedes_aegypti
NC_035107.1:148403062-148405194|Metaviridae|Metavirus|Cladosporium_1,711,NC_035107.1,Aedes_aegypti
NC_035107.1:149303579-149303737|Metaviridae|Metavirus|Cladosporium_1,53,NC_035107.1,Aedes_aegypti
NC_035107.1:150802974-150803405|Metaviridae|Metavirus|Cladosporium_1,144,NC_035107.1,Aedes_aegypti
NC_035107.1:150803441-150804949|Metaviridae|Metavirus|Cladosporium_1,503,NC_035107.1,Aedes_aegypti
NC_035107.1:151093788-151094069|Metaviridae|Metavirus|Cladosporium_1,94,NC_035107.1,Aedes_aegypti
NC_035107.1:152126030-152126320|Metaviridae|Metavirus|Cladosporium_1,97,NC_035107.1,Aedes_aegypti
NC_035107.1:152323947-152326028|Metaviridae|Metavirus|Cladosporium_1,158,NC_035107.1,Aedes_aegypti
NC_035107.1:152323947-152326028|Metaviridae|Metavirus|Cladosporium_2,529,NC_035107.1,Aedes_aegypti
NC_035107.1:152569830-152571929|Metaviridae|Metavirus|Cladosporium_1,700,NC_035107.1,Aedes_aegypti
NC_035107.1:152648577-152650721|Metaviridae|Metavirus|Cladosporium_1,117,NC_035107.1,Aedes_aegypti
NC_035107.1:152648577-152650721|Metaviridae|Metavirus|Cladosporium_2,151,NC_035107.1,Aedes_aegypti
NC_035107.1:152648577-152650721|Metaviridae|Metavirus|Cladosporium_3,410,NC_035107.1,Aedes_aegypti
NC_035107.1:152807035-152807484|Metaviridae|Metavirus|Cladosporium_1,150,NC_035107.1,Aedes_aegypti
NC_035107.1:152949323-152951536|Metaviridae|Metavirus|Cladosporium_1,738,NC_035107.1,Aedes_aegypti
NC_035107.1:153441948-153443495|Metaviridae|Metavirus|Cladosporium_1,516,NC_035107.1,Aedes_aegypti
NC_035107.1:153641433-153643382|Metaviridae|Metavirus|Cladosporium_1,650,NC_035107.1,Aedes_aegypti
NC_035107.1:154073680-154075638|Metaviridae|Metavirus|Cladosporium_1,653,NC_035107.1,Aedes_aegypti
NC_035107.1:154310318-154310557|Metaviridae|Metavirus|Cladosporium_1,80,NC_035107.1,Aedes_aegypti
NC_035107.1:154489247-154491391|Metaviridae|Metavirus|Cladosporium_1,715,NC_035107.1,Aedes_aegypti
NC_035107.1:155009312-155011186|Metaviridae|Metavirus|Cladosporium_1,293,NC_035107.1,Aedes_aegypti
NC_035107.1:155009312-155011186|Metaviridae|Metavirus|Cladosporium_2,325,NC_035107.1,Aedes_aegypti
NC_035107.1:155113295-155113630|Metaviridae|Metavirus|Cladosporium_1,48,NC_035107.1,Aedes_aegypti
NC_035107.1:155517190-155517483|Metaviridae|Metavirus|Cladosporium_1,98,NC_035107.1,Aedes_aegypti
NC_035107.1:155663558-155665711|Metaviridae|Metavirus|Cladosporium_1,718,NC_035107.1,Aedes_aegypti
NC_035107.1:156739593-156741251|Metaviridae|Metavirus|Cladosporium_1,53,NC_035107.1,Aedes_aegypti
NC_035107.1:156739593-156741251|Metaviridae|Metavirus|Cladosporium_2,468,NC_035107.1,Aedes_aegypti
NC_035107.1:157133153-157135180|Metaviridae|Metavirus|Cladosporium_1,676,NC_035107.1,Aedes_aegypti
NC_035107.1:157173315-157174139|Metaviridae|Metavirus|Cladosporium_1,275,NC_035107.1,Aedes_aegypti
NC_035107.1:158590515-158592572|Metaviridae|Metavirus|Cladosporium_1,686,NC_035107.1,Aedes_aegypti
NC_035107.1:158971014-158973161|Metaviridae|Metavirus|Cladosporium_1,716,NC_035107.1,Aedes_aegypti
NC_035107.1:160184535-160186664|Metaviridae|Metavirus|Cladosporium_1,66,NC_035107.1,Aedes_aegypti
NC_035107.1:160184535-160186664|Metaviridae|Metavirus|Cladosporium_2,207,NC_035107.1,Aedes_aegypti
NC_035107.1:160184535-160186664|Metaviridae|Metavirus|Cladosporium_3,272,NC_035107.1,Aedes_aegypti
NC_035107.1:160784170-160785954|Metaviridae|Metavirus|Cladosporium_1,595,NC_035107.1,Aedes_aegypti
NC_035107.1:162191776-162193932|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:162888726-162890812|Metaviridae|Metavirus|Cladosporium_1,328,NC_035107.1,Aedes_aegypti
NC_035107.1:162888726-162890812|Metaviridae|Metavirus|Cladosporium_2,279,NC_035107.1,Aedes_aegypti
NC_035107.1:162925613-162927715|Metaviridae|Metavirus|Cladosporium_1,701,NC_035107.1,Aedes_aegypti
NC_035107.1:163037291-163039486|Metaviridae|Metavirus|Cladosporium_1,732,NC_035107.1,Aedes_aegypti
NC_035107.1:163075976-163077649|Metaviridae|Metavirus|Cladosporium_1,558,NC_035107.1,Aedes_aegypti
NC_035107.1:163516561-163518756|Metaviridae|Metavirus|Cladosporium_1,732,NC_035107.1,Aedes_aegypti
NC_035107.1:163803933-163806128|Metaviridae|Metavirus|Cladosporium_1,732,NC_035107.1,Aedes_aegypti
NC_035107.1:163813891-163815819|Metaviridae|Metavirus|Cladosporium_1,550,NC_035107.1,Aedes_aegypti
NC_035107.1:163813891-163815819|Metaviridae|Metavirus|Cladosporium_2,93,NC_035107.1,Aedes_aegypti
NC_035107.1:163876548-163877240|Metaviridae|Metavirus|Cladosporium_1,231,NC_035107.1,Aedes_aegypti
NC_035107.1:164247783-164249978|Metaviridae|Metavirus|Cladosporium_1,732,NC_035107.1,Aedes_aegypti
NC_035107.1:164843613-164845409|Metaviridae|Metavirus|Cladosporium_1,489,NC_035107.1,Aedes_aegypti
NC_035107.1:164843613-164845409|Metaviridae|Metavirus|Cladosporium_2,38,NC_035107.1,Aedes_aegypti
NC_035107.1:164850534-164852720|Metaviridae|Metavirus|Cladosporium_1,729,NC_035107.1,Aedes_aegypti
NC_035107.1:165364259-165366421|Metaviridae|Metavirus|Cladosporium_1,66,NC_035107.1,Aedes_aegypti
NC_035107.1:165364259-165366421|Metaviridae|Metavirus|Cladosporium_2,555,NC_035107.1,Aedes_aegypti
NC_035107.1:166597821-166599770|Metaviridae|Metavirus|Cladosporium_1,650,NC_035107.1,Aedes_aegypti
NC_035107.1:166874207-166875022|Metaviridae|Metavirus|Cladosporium_1,272,NC_035107.1,Aedes_aegypti
NC_035107.1:167146084-167146716|Metaviridae|Metavirus|Cladosporium_1,211,NC_035107.1,Aedes_aegypti
NC_035107.1:167146796-167147083|Metaviridae|Metavirus|Cladosporium_1,96,NC_035107.1,Aedes_aegypti
NC_035107.1:167855202-167857358|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:167872786-167874903|Metaviridae|Metavirus|Cladosporium_1,706,NC_035107.1,Aedes_aegypti
NC_035107.1:167878377-167880452|Metaviridae|Metavirus|Cladosporium_1,692,NC_035107.1,Aedes_aegypti
NC_035107.1:168105198-168106415|Metaviridae|Metavirus|Cladosporium_1,406,NC_035107.1,Aedes_aegypti
NC_035107.1:168419900-168420181|Metaviridae|Metavirus|Cladosporium_1,94,NC_035107.1,Aedes_aegypti
NC_035107.1:168973733-168975409|Metaviridae|Metavirus|Cladosporium_1,559,NC_035107.1,Aedes_aegypti
NC_035107.1:169092907-169095063|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:169555491-169557383|Metaviridae|Metavirus|Cladosporium_1,311,NC_035107.1,Aedes_aegypti
NC_035107.1:169555491-169557383|Metaviridae|Metavirus|Cladosporium_2,296,NC_035107.1,Aedes_aegypti
NC_035107.1:169954920-169956998|Metaviridae|Metavirus|Cladosporium_1,693,NC_035107.1,Aedes_aegypti
NC_035107.1:171079403-171081532|Metaviridae|Metavirus|Cladosporium_1,710,NC_035107.1,Aedes_aegypti
NC_035107.1:172346055-172346174|Metaviridae|Metavirus|Cladosporium_1,40,NC_035107.1,Aedes_aegypti
NC_035107.1:172820523-172822718|Metaviridae|Metavirus|Cladosporium_1,146,NC_035107.1,Aedes_aegypti
NC_035107.1:172820523-172822718|Metaviridae|Metavirus|Cladosporium_2,474,NC_035107.1,Aedes_aegypti
NC_035107.1:172820523-172822718|Metaviridae|Metavirus|Cladosporium_3,46,NC_035107.1,Aedes_aegypti
NC_035107.1:173821985-173824129|Metaviridae|Metavirus|Cladosporium_1,715,NC_035107.1,Aedes_aegypti
NC_035107.1:174553164-174555308|Metaviridae|Metavirus|Cladosporium_1,715,NC_035107.1,Aedes_aegypti
NC_035107.1:175312616-175314757|Metaviridae|Metavirus|Cladosporium_1,287,NC_035107.1,Aedes_aegypti
NC_035107.1:175312616-175314757|Metaviridae|Metavirus|Cladosporium_2,394,NC_035107.1,Aedes_aegypti
NC_035107.1:175904412-175906568|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:177288630-177288989|Metaviridae|Metavirus|Cladosporium_1,120,NC_035107.1,Aedes_aegypti
NC_035107.1:178982397-178984475|Metaviridae|Metavirus|Cladosporium_1,693,NC_035107.1,Aedes_aegypti
NC_035107.1:180685755-180686189|Metaviridae|Metavirus|Cladosporium_1,131,NC_035107.1,Aedes_aegypti
NC_035107.1:181479039-181479383|Metaviridae|Metavirus|Cladosporium_1,115,NC_035107.1,Aedes_aegypti
NC_035107.1:182557359-182559530|Metaviridae|Metavirus|Cladosporium_1,724,NC_035107.1,Aedes_aegypti
NC_035107.1:185107890-185108309|Metaviridae|Metavirus|Cladosporium_1,140,NC_035107.1,Aedes_aegypti
NC_035107.1:185109116-185109742|Metaviridae|Metavirus|Cladosporium_1,209,NC_035107.1,Aedes_aegypti
NC_035107.1:185109829-185109993|Metaviridae|Metavirus|Cladosporium_1,55,NC_035107.1,Aedes_aegypti
NC_035107.1:186328307-186330445|Metaviridae|Metavirus|Cladosporium_1,713,NC_035107.1,Aedes_aegypti
NC_035107.1:189891618-189893867|Metaviridae|Metavirus|Cladosporium_1,750,NC_035107.1,Aedes_aegypti
NC_035107.1:190950460-190952493|Metaviridae|Metavirus|Cladosporium_1,499,NC_035107.1,Aedes_aegypti
NC_035107.1:190950460-190952493|Metaviridae|Metavirus|Cladosporium_2,174,NC_035107.1,Aedes_aegypti
NC_035107.1:192040289-192040642|Metaviridae|Metavirus|Cladosporium_1,73,NC_035107.1,Aedes_aegypti
NC_035107.1:192137445-192139529|Metaviridae|Metavirus|Cladosporium_1,695,NC_035107.1,Aedes_aegypti
NC_035107.1:194582692-194584758|Metaviridae|Metavirus|Cladosporium_1,586,NC_035107.1,Aedes_aegypti
NC_035107.1:194582692-194584758|Metaviridae|Metavirus|Cladosporium_2,23,NC_035107.1,Aedes_aegypti
NC_035107.1:197591108-197593066|Metaviridae|Metavirus|Cladosporium_1,653,NC_035107.1,Aedes_aegypti
NC_035107.1:200164940-200166961|Metaviridae|Metavirus|Cladosporium_1,674,NC_035107.1,Aedes_aegypti
NC_035107.1:200873498-200875537|Metaviridae|Metavirus|Cladosporium_1,680,NC_035107.1,Aedes_aegypti
NC_035107.1:203251855-203252085|Metaviridae|Metavirus|Cladosporium_1,77,NC_035107.1,Aedes_aegypti
NC_035107.1:206572718-206574751|Metaviridae|Metavirus|Cladosporium_1,678,NC_035107.1,Aedes_aegypti
NC_035107.1:206902639-206904801|Metaviridae|Metavirus|Cladosporium_1,721,NC_035107.1,Aedes_aegypti
NC_035107.1:210034289-210035092|Metaviridae|Metavirus|Cladosporium_1,268,NC_035107.1,Aedes_aegypti
NC_035107.1:210568453-210569139|Metaviridae|Metavirus|Cladosporium_1,229,NC_035107.1,Aedes_aegypti
NC_035107.1:211806068-211806703|Metaviridae|Metavirus|Cladosporium_1,212,NC_035107.1,Aedes_aegypti
NC_035107.1:212039630-212041215|Metaviridae|Metavirus|Cladosporium_1,143,NC_035107.1,Aedes_aegypti
NC_035107.1:212039630-212041215|Metaviridae|Metavirus|Cladosporium_2,358,NC_035107.1,Aedes_aegypti
NC_035107.1:216748479-216750635|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:216788996-216789415|Metaviridae|Metavirus|Cladosporium_1,140,NC_035107.1,Aedes_aegypti
NC_035107.1:217848226-217850451|Metaviridae|Metavirus|Cladosporium_1,742,NC_035107.1,Aedes_aegypti
NC_035107.1:218658578-218659330|Metaviridae|Metavirus|Cladosporium_1,251,NC_035107.1,Aedes_aegypti
NC_035107.1:218724129-218724530|Metaviridae|Metavirus|Cladosporium_1,121,NC_035107.1,Aedes_aegypti
NC_035107.1:218839500-218841737|Metaviridae|Metavirus|Cladosporium_1,746,NC_035107.1,Aedes_aegypti
NC_035107.1:221881883-221884039|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:223430469-223432508|Metaviridae|Metavirus|Cladosporium_1,680,NC_035107.1,Aedes_aegypti
NC_035107.1:223532597-223534759|Metaviridae|Metavirus|Cladosporium_1,134,NC_035107.1,Aedes_aegypti
NC_035107.1:223532597-223534759|Metaviridae|Metavirus|Cladosporium_2,564,NC_035107.1,Aedes_aegypti
NC_035107.1:226611130-226613265|Metaviridae|Metavirus|Cladosporium_1,712,NC_035107.1,Aedes_aegypti
NC_035107.1:226626018-226628231|Metaviridae|Metavirus|Cladosporium_1,428,NC_035107.1,Aedes_aegypti
NC_035107.1:226626018-226628231|Metaviridae|Metavirus|Cladosporium_2,262,NC_035107.1,Aedes_aegypti
NC_035107.1:227748731-227750938|Metaviridae|Metavirus|Cladosporium_1,736,NC_035107.1,Aedes_aegypti
NC_035107.1:231834726-231836900|Metaviridae|Metavirus|Cladosporium_1,725,NC_035107.1,Aedes_aegypti
NC_035107.1:237379017-237381116|Metaviridae|Metavirus|Cladosporium_1,700,NC_035107.1,Aedes_aegypti
NC_035107.1:241441303-241443456|Metaviridae|Metavirus|Cladosporium_1,718,NC_035107.1,Aedes_aegypti
NC_035107.1:242008149-242010305|Metaviridae|Metavirus|Cladosporium_1,719,NC_035107.1,Aedes_aegypti
NC_035107.1:242029939-242030784|Metaviridae|Metavirus|Cladosporium_1,282,NC_035107.1,Aedes_aegypti
NC_035107.1:245186327-245188528|Metaviridae|Metavirus|Cladosporium_1,734,NC_035107.1,Aedes_aegypti
NC_035107.1:246919882-246920511|Metaviridae|Metavirus|Cladosporium_1,210,NC_035107.1,Aedes_aegypti
NC_035107.1:247045494-247047587|Metaviridae|Metavirus|Cladosporium_1,698,NC_035107.1,Aedes_aegypti
NC_035107.1:251157010-251159190|Metaviridae|Metavirus|Cladosporium_1,727,NC_035107.1,Aedes_aegypti
NC_035107.1:252552464-252554374|Metaviridae|Metavirus|Cladosporium_1,526,NC_035107.1,Aedes_aegypti
NC_035107.1:252552464-252554374|Metaviridae|Metavirus|Cladosporium_2,31,NC_035107.1,Aedes_aegypti
NC_035107.1:258961149-258961325|Metaviridae|Metavirus|Cladosporium_1,59,NC_035107.1,Aedes_aegypti
NC_035107.1:258961345-258961794|Metaviridae|Metavirus|Cladosporium_1,150,NC_035107.1,Aedes_aegypti
NC_035107.1:266207319-266207891|Metaviridae|Metavirus|Cladosporium_1,104,NC_035107.1,Aedes_aegypti
NC_035107.1:266207319-266207891|Metaviridae|Metavirus|Cladosporium_2,82,NC_035107.1,Aedes_aegypti
